Using the leaf size of 2048
Using 8 threads.
Reading in the reference set: 16k_1024.dat
Finished reading in the reference set.
Scaled the dataset with the option: none
Bandwidth of 2
For each query point $q in \mathcal{Q}$, we will guarantee: $| widetilde{G}(q) - G(q) | \leq 0.1 \cdot G(q) + 0 | \mathcal{R} |$ 
Probability of 1
Using the kernel: gaussian
Using the series expansion type: multivariate
Building the reference tree.
Finished building the reference tree.
0.54355 seconds elapsed in initializing...
2.308713 seconds elapsed in calculating the direct sum...
2.497120 seconds elapsed in calculating the direct sum...
4.523353 seconds elapsed in calculating the direct sum...
4.779154 seconds elapsed in calculating the direct sum...
4.904125 seconds elapsed in calculating the direct sum...
2.620663 seconds elapsed in calculating the direct sum...
5.146046 seconds elapsed in calculating the direct sum...
5.301309 seconds elapsed in calculating the direct sum...
2.856263 seconds elapsed in calculating the direct sum...
6.224811 seconds elapsed in calculating the direct sum...
2.177799 seconds elapsed in calculating the direct sum...
2.342565 seconds elapsed in calculating the direct sum...
1.951662 seconds elapsed in calculating the direct sum...
5.291989 seconds elapsed in calculating the direct sum...
2.120016 seconds elapsed in calculating the direct sum...
5.585273 seconds elapsed in calculating the direct sum...
5.710381 seconds elapsed in calculating the direct sum...
5.952919 seconds elapsed in calculating the direct sum...
2.186440 seconds elapsed in calculating the direct sum...
6.159476 seconds elapsed in calculating the direct sum...
2.463665 seconds elapsed in calculating the direct sum...
1.297518 seconds elapsed in calculating the direct sum...
7.312554 seconds elapsed in calculating the direct sum...
1.392303 seconds elapsed in calculating the direct sum...
4.767145 seconds elapsed in calculating the direct sum...
2.358675 seconds elapsed in calculating the direct sum...
4.850794 seconds elapsed in calculating the direct sum...
4.970264 seconds elapsed in calculating the direct sum...
1.247223 seconds elapsed in calculating the direct sum...
2.605282 seconds elapsed in calculating the direct sum...
5.183442 seconds elapsed in calculating the direct sum...
5.388498 seconds elapsed in calculating the direct sum...
1.334910 seconds elapsed in calculating the direct sum...
2.265554 seconds elapsed in calculating the direct sum...
4.525934 seconds elapsed in calculating the direct sum...
4.546984 seconds elapsed in calculating the direct sum...
6.297080 seconds elapsed in calculating the direct sum...
2.406848 seconds elapsed in calculating the direct sum...
4.609592 seconds elapsed in calculating the direct sum...
4.783415 seconds elapsed in calculating the direct sum...
2.826942 seconds elapsed in calculating the direct sum...
4.962057 seconds elapsed in calculating the direct sum...
3.122057 seconds elapsed in calculating the direct sum...
2.319464 seconds elapsed in calculating the direct sum...
4.762213 seconds elapsed in calculating the direct sum...
4.897804 seconds elapsed in calculating the direct sum...
4.963092 seconds elapsed in calculating the direct sum...
2.470733 seconds elapsed in calculating the direct sum...
5.787504 seconds elapsed in calculating the direct sum...
5.177206 seconds elapsed in calculating the direct sum...
2.472737 seconds elapsed in calculating the direct sum...
5.334334 seconds elapsed in calculating the direct sum...
2.617217 seconds elapsed in calculating the direct sum...
2.623908 seconds elapsed in calculating the direct sum...
2.814649 seconds elapsed in calculating the direct sum...
5.521006 seconds elapsed in calculating the direct sum...
3.131449 seconds elapsed in calculating the direct sum...
4.906944 seconds elapsed in calculating the direct sum...
6.000463 seconds elapsed in calculating the direct sum...
6.381530 seconds elapsed in calculating the direct sum...
5.174546 seconds elapsed in calculating the direct sum...
5.245075 seconds elapsed in calculating the direct sum...
2.187601 seconds elapsed in calculating the direct sum...
5.485965 seconds elapsed in calculating the direct sum...
3.158263 seconds elapsed in calculating the direct sum...
2.495151 seconds elapsed in calculating the direct sum...
6.075925 seconds elapsed in calculating the direct sum...
2.721642 seconds elapsed in calculating the direct sum...
5.937222 seconds elapsed in calculating the direct sum...
3.046119 seconds elapsed in calculating the direct sum...
4.476047 seconds elapsed in calculating the direct sum...
7.039784 seconds elapsed in calculating the direct sum...
3.029142 seconds elapsed in calculating the direct sum...
5.090125 seconds elapsed in calculating the direct sum...
5.027552 seconds elapsed in calculating the direct sum...
4.985025 seconds elapsed in calculating the direct sum...
6.422977 seconds elapsed in calculating the direct sum...
5.209438 seconds elapsed in calculating the direct sum...
5.747514 seconds elapsed in calculating the direct sum...
3.173801 seconds elapsed in calculating the direct sum...
5.739413 seconds elapsed in calculating the direct sum...
5.630091 seconds elapsed in calculating the direct sum...
4.759071 seconds elapsed in calculating the direct sum...
6.242859 seconds elapsed in calculating the direct sum...
6.315719 seconds elapsed in calculating the direct sum...
4.428340 seconds elapsed in calculating the direct sum...
6.663694 seconds elapsed in calculating the direct sum...
4.974923 seconds elapsed in calculating the direct sum...
5.325353 seconds elapsed in calculating the direct sum...
5.961110 seconds elapsed in calculating the direct sum...
5.052951 seconds elapsed in calculating the direct sum...
7.062431 seconds elapsed in calculating the direct sum...
5.048073 seconds elapsed in calculating the direct sum...
2.853496 seconds elapsed in calculating the direct sum...
5.024717 seconds elapsed in calculating the direct sum...
6.697241 seconds elapsed in calculating the direct sum...
5.306597 seconds elapsed in calculating the direct sum...
5.264274 seconds elapsed in calculating the direct sum...
6.960411 seconds elapsed in calculating the direct sum...
2.970456 seconds elapsed in calculating the direct sum...
6.023006 seconds elapsed in calculating the direct sum...
6.364736 seconds elapsed in calculating the direct sum...
2.693902 seconds elapsed in calculating the direct sum...
4.813314 seconds elapsed in calculating the direct sum...
6.387057 seconds elapsed in calculating the direct sum...
4.757140 seconds elapsed in calculating the direct sum...
5.154903 seconds elapsed in calculating the direct sum...
2.918716 seconds elapsed in calculating the direct sum...
4.335394 seconds elapsed in calculating the direct sum...
6.531168 seconds elapsed in calculating the direct sum...
5.878681 seconds elapsed in calculating the direct sum...
4.623211 seconds elapsed in calculating the direct sum...
2.376044 seconds elapsed in calculating the direct sum...
5.047312 seconds elapsed in calculating the direct sum...
6.876334 seconds elapsed in calculating the direct sum...
4.822896 seconds elapsed in calculating the direct sum...
2.178445 seconds elapsed in calculating the direct sum...
4.691044 seconds elapsed in calculating the direct sum...
4.782881 seconds elapsed in calculating the direct sum...
6.229948 seconds elapsed in calculating the direct sum...
4.833564 seconds elapsed in calculating the direct sum...
Number of prunes: 0
Number of probabilistic prunes: 0
Number of far-to-local prunes: 0
Number of farfield prunes: 0
Number of local prunes: 0
100.22 seconds elapsed in computation...
