Author,Road Segment ID,Bounding Street #1,Bounding Street #2,Intersection #1 ID,Intersection #2 ID,Intersection #1 Latitude,Intersection #1 Longtitude,Intersection #2 Latitude,Intersection #2 Longtitude,Road Segment Street,Lanes in each direction,Lanes in Street #1 -> Street #2 direction,Lanes in Street #2 -> Street #1 direction,Length (m)
Marat,200,Andrew Young International Blvd NW,Philips Dr,86,87,"33d45'19.61""N","84d23'53.11""W","33d45'21.31""N","84d23'50.51""W",Centennial Olympic Park Dr NW,5,2,3,85
Marat,201,Philips Dr,Parking Lot Exit #16,87,P16,"33d45'21.31""N","84d23'50.51""W","33d45'25.32""N","84d23'40.54""W",Centennial Olympic Park Dr NW,5,2,3,283
Marat,202,Northside Dr SW,Larking Pl SW,216,218,"33d44'52.54""N","84d24'14.94""W","33d44'52.71""N","84d24'18.49""W",Larkin St SW,2,1,1,89
Marat,203,Elliott St SW,Spring St SW,293,90,"33d45'12.64""N","84d23'52.90""W","33d45'8.43""N","84d23'44.41""W",Mitchell St SW,4,2,2,252
Marat,204,Mitchell St SW,Nelson St SW,293,196,"33d45'12.64""N","84d23'52.90""W","33d45'8.27""N","84d23'52.86""W",Elliott St SW,4,2,2,134
Marat,205,Elliott St SW,Spring St SW,196,197,"33d45'8.27""N","84d23'52.86""W","33d45'6.20""N","84d23'46.26""W",Nelson St SW,2,1,1,181
Marat,206,Forsyth St SW,Broad St SW,179,174,"33d45'5.91""N","84d23'39.66""W","33d45'4.51""N","84d23'37.36""W",Mitchell St SW,4,2,2,72
Marat,207,Broad St SW,Peachtree St SW,174,172,"33d45'4.51""N","84d23'37.36""W","33d45'3.22""N","84d23'34.98""W",Mitchell St SW,4,2,2,74
Marat,208,Peachtree St SW,Pryor St SW,172,171,"33d45'3.22""N","84d23'34.98""W","33d45'0.83""N","84d23'30.63""W",Mitchell St SW,4,2,2,132
Marat,209,Mitchell St SW,Martin Luther King Jr Dr SE,171,154,"33d45'0.83""N","84d23'30.63""W","33d45'4.94""N","84d23'27.49""W",Pryor St SW,4,2,2,149
Marat,210,Martin Luther King Jr Dr SE,Alabama St SW,154,152,"33d45'4.94""N","84d23'27.49""W","33d45'8.86""N","84d23'24.47""W",Pryor St SW,4,2,2,143
Marat,211,Alabama St SW,Wall St SE,152,116,"33d45'8.86""N","84d23'24.47""W","33d45'11.76""N","84d23'22.29""W",Pryor St SW,4,2,2,106
Marat,212,Wall St SE,Decatur St SE,116,114,"33d45'11.76""N","84d23'22.29""W","33d45'13.84""N","84d23'20.49""W",Pryor St SW,4,2,2,80
Marat,213,Decatur St SE,Edgewood Ave SE,114,110,"33d45'13.84""N","84d23'20.49""W","33d45'16.18""N","84d23'18.63""W",Pryor St SW,4,2,2,84
Marat,214,Forsyth St SW,Broad St SW,178,175,"33d45'9.88""N","84d23'36.55""W","33d45'8.61""N","84d23'34.18""W",Martin Luther King Jr Dr SW,5,3,2,72
Marat,215,Broad St SW,Peachtree St SW,175,156,"33d45'8.61""N","84d23'34.18""W","33d45'7.25""N","84d23'31.80""W",Martin Luther King Jr Dr SW,5,3,2,74
Marat,216,Peachtree St SW,Pryor St SW,156,154,"33d45'7.25""N","84d23'31.80""W","33d45'4.94""N","84d23'27.49""W",Martin Luther King Jr Dr SW,5,3,2,132
Marat,217,Pryor St SW,Central Ave SW,154,153,"33d45'4.94""N","84d23'27.49""W","33d45'2.76""N","84d23'23.53""W",Martin Luther King Jr Dr SE,5,3,2,123
Marat,218,Williams St NW,Margaret Mitchell Square NW,13,16,"33d45'34.85""N","84d23'26.09""W","33d45'34.73""N","84d23'23.57""W",Andrew Young International Blvd NW,4,2,2,64
Marat,219,Margaret Mitchell Square NW,Spring St NW,16,17,"33d45'34.73""N","84d23'23.57""W","33d45'34.80""N","84d23'20.65""W",Andrew Young International Blvd NW,4,2,2,75
