2,0.082089,0.001244
4,0.042568,0.040766
8,0.037783,0.045551
16,0.061708,0.021626
32,0.081928,0.001405
64,0.086075,0.002742
128,0.091057,0.007724
256,0.091601,0.008268
512,0.086619,0.003285
1024,0.083992,0.000659
2048,0.082882,0.000452
4096,0.082492,0.000841
8192,0.082450,0.000883
16384,0.082719,0.000614
32768,0.083295,0.000038
65536,0.083400,0.000067
131072,0.083302,0.000032
262144,0.083333,0.000001
524288,0.083354,0.000020
1048576,0.083340,0.000007
2097152,0.083323,0.000010
4194304,0.083294,0.000039
8388608,0.083309,0.000024
16777216,0.083328,0.000005
33554432,0.083333,0.000001
67108864,0.083340,0.000007
