0.000,0.098,0.098,0.098,0.106,0.122,0.667,0.732,0.732,0.772,0.797,1.000
0.235,0.235,0.265,0.265,0.265,0.265,0.794,0.882,0.912,0.941,0.971,1.000
0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.111,0.111,0.111,0.889,1.000
0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.111,0.111,0.111,0.889,1.000
0.077,0.077,0.077,0.077,0.077,0.077,0.769,0.923,0.923,1.000,1.000,1.000
0.042,0.042,0.042,0.042,0.042,0.042,1.000,1.000,1.000,1.000,1.000,1.000
0.296,0.364,0.368,0.368,0.466,0.757,0.757,0.931,0.931,0.943,0.955,1.000
0.000,0.000,0.000,0.000,0.087,0.101,0.768,0.768,0.783,0.826,0.870,1.000
0.267,0.333,0.333,0.333,0.333,0.333,0.467,0.733,0.733,0.867,0.867,1.000
0.182,0.455,0.545,0.545,0.545,0.545,0.727,0.727,0.818,0.818,0.909,1.000
0.265,0.714,0.796,0.796,0.796,0.796,0.816,0.837,0.837,0.837,0.837,1.000
0.489,0.489,0.532,0.532,0.532,0.553,0.915,0.957,0.957,0.957,1.000,1.000
