29,114,201,1163045700.000000,1163160000.000000,6,0,114.300000
87,114,201,1163080200.000000,1163181900.000000,6,0,101.700000
88,114,202,1163080200.000000,1163252400.000000,6,11,172.200000
93,114,201,1163083100.000000,1163255000.000000,6,0,171.900000
94,114,223,1163086700.000000,1163184200.000000,6,1,97.500000
114,114,201,1163093000.000000,1163187800.000000,6,0,94.800000
118,114,202,1163095000.000000,1163285700.000000,6,11,190.700000
124,114,201,1163100100.000000,1163256800.000000,6,0,156.700000
134,114,201,1163106300.000000,1163262400.000000,6,0,156.100000
143,114,201,1163108500.000000,1163189400.000000,6,0,80.900000
144,115,223,1163108600.000000,1163198100.000000,5,1,89.500000
146,114,201,1163109500.000000,1163263300.000000,6,0,153.800000
154,114,202,1163110900.000000,1163288100.000000,6,11,177.200000
158,114,223,1163112400.000000,1163203800.000000,6,1,91.400000
172,114,201,1163119400.000000,1163266400.000000,6,0,147.000000
187,114,201,1163124600.000000,1163268600.000000,6,0,144.000000
192,114,201,1163127900.000000,1163254600.000000,6,0,126.700000
263,114,201,1163196900.000000,1163358500.000000,6,0,161.600000
269,114,201,1163201300.000000,1163288000.000000,6,0,86.700000
270,114,223,1163201400.000000,1163283000.000000,6,1,81.600000
275,114,201,1163204600.000000,1163360800.000000,6,0,156.200000
290,114,223,1163211800.000000,1163353500.000000,6,1,141.700000
296,114,223,1163214300.000000,1163358900.000000,6,1,144.600000
308,114,202,1163220300.000000,1163342300.000000,6,11,122.000000
310,114,201,1163221300.000000,1163364200.000000,6,0,142.900000
315,114,223,1163224600.000000,1163357300.000000,6,1,132.700000
318,114,202,1163226400.000000,1163345600.000000,6,11,119.200000
320,114,201,1163227900.000000,1163362900.000000,6,0,135.000000
349,115,201,1163253900.000000,1163369500.000000,5,0,115.600000
375,115,223,1163271000.000000,1163386000.000000,5,1,115.000000
405,114,223,1163292600.000000,1163457100.000000,6,1,164.500000
407,114,201,1163292600.000000,1163456300.000000,6,0,163.700000
413,114,201,1163295400.000000,1163461800.000000,6,0,166.400000
415,114,201,1163295400.000000,1163467300.000000,6,0,171.900000
418,114,202,1163297600.000000,1163387100.000000,6,11,89.500000
419,114,201,1163299200.000000,1163459300.000000,6,0,160.100000
420,114,201,1163301800.000000,1163462000.000000,6,0,160.200000
432,114,202,1163305600.000000,1163440400.000000,6,11,134.800000
443,114,201,1163306000.000000,1163463300.000000,6,0,157.300000
449,114,201,1163308800.000000,1163465100.000000,6,0,156.300000
460,114,201,1163311600.000000,1163473400.000000,6,0,161.800000
461,115,201,1163311600.000000,1163468300.000000,5,0,156.700000
464,114,201,1163313100.000000,1163473300.000000,6,0,160.200000
468,114,202,1163314300.000000,1163442900.000000,6,11,128.600000
475,115,223,1163315400.000000,1163468600.000000,5,1,153.200000
480,114,201,1163316600.000000,1163475700.000000,6,0,159.100000
483,114,201,1163317100.000000,1163472700.000000,6,0,155.600000
500,114,201,1163325000.000000,1163478900.000000,6,0,153.900000
509,114,201,1163327200.000000,1163480700.000000,6,0,153.500000
512,115,201,1163329300.000000,1163476000.000000,5,0,146.700000
532,115,201,1163344900.000000,1163469500.000000,5,0,124.600000
559,115,202,1163356900.000000,1163445000.000000,5,11,88.100000
567,113,201,1163365800.000000,1163556200.000000,7,0,190.400000
590,115,201,1163376500.000000,1163484200.000000,5,0,107.700000
605,115,201,1163394700.000000,1163488800.000000,5,0,94.100000
606,114,202,1163394700.000000,1163483600.000000,6,11,88.900000
611,114,201,1163397800.000000,1163488300.000000,6,0,90.500000
635,114,201,1163411100.000000,1163556300.000000,6,0,145.200000
642,114,202,1163415300.000000,1163541400.000000,6,11,126.100000
645,114,201,1163416900.000000,1163486500.000000,6,0,69.600000
650,114,201,1163421300.000000,1163558600.000000,6,0,137.300000
654,114,201,1163425700.000000,1163562300.000000,6,0,136.600000
686,115,201,1163445800.000000,1163566000.000000,5,0,120.200000
740,114,201,1163489500.000000,1163582800.000000,6,0,93.300000
759,114,201,1163495600.000000,1163586800.000000,6,0,91.200000
760,114,201,1163498600.000000,1163587400.000000,6,0,88.800000
763,114,201,1163501100.000000,1163589100.000000,6,0,88.000000
773,114,201,1163502700.000000,1163587300.000000,6,0,84.600000
786,114,201,1163505100.000000,1163656100.000000,6,0,151.000000
794,114,223,1163507800.000000,1163656200.000000,6,1,148.400000
805,114,201,1163510800.000000,1163662100.000000,6,0,151.300000
813,114,201,1163512900.000000,1163663100.000000,6,0,150.200000
831,114,201,1163518800.000000,1163655300.000000,6,0,136.500000
842,114,201,1163526900.000000,1163654400.000000,6,0,127.500000
961,114,201,1163590000.000000,1163685800.000000,6,0,95.800000
962,114,202,1163591000.000000,1163684700.000000,6,11,93.700000
966,114,202,1163595000.000000,1163689800.000000,6,11,94.800000
976,114,201,1163598600.000000,1163687000.000000,6,0,88.400000
978,115,201,1163599600.000000,1163758900.000000,5,0,159.300000
