1,0.221,0.281
2,0.2263,0.2368
4,0.2408,0.1959
8,0.2636,0.1694
16,0.3118,0.1524
32,0.4426,0.1444
64,0.8394,0.1408
128,1.8238,0.1445
256,4.3544,0.1518
512,10.7486,0.1647
1024,20.9348,0.1834
2048,62.5911,0.2128
4096,125.3349,0.2762
8192,177.9284,0.426
16384,245.5779,0.7628
32768,397.8186,1.5361
65536,688.5865,4.135
